datetime;consommation;thermique;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques
2014-05-09;103845.0;8.0;0.0;8889.0;1315.0;1294.0;-330.0;1437.0;91213.0
2014-05-10;94028.0;9.0;0.0;22720.0;1251.0;1861.0;-496.0;1495.0;67186.0
2014-05-11;88753.0;8.0;0.0;18541.0;1580.0;2289.0;-496.0;1489.0;65327.0
2014-05-12;111837.0;16.0;0.0;7859.0;1431.0;3076.0;-455.0;1423.0;98484.0
2014-05-13;116495.0;729.0;0.0;8697.0;1548.0;3536.0;-290.0;1304.0;100961.0
2014-05-14;113785.0;19.0;0.0;3271.0;1820.0;4080.0;-166.0;1299.0;103452.0
2014-05-15;109977.0;1312.0;0.0;6632.0;1975.0;4056.0;-112.0;1319.0;94794.0
2014-05-16;105051.0;15.0;0.0;8167.0;2051.0;4099.0;-68.0;1417.0;89366.0
2014-05-17;87484.0;36.0;0.0;4519.0;1987.0;4368.0;-130.0;1482.0;75227.0
2014-05-18;77345.0;34.0;0.0;2187.0;1894.0;4262.0;-161.0;1482.0;67646.0
2014-05-19;99869.0;404.0;0.0;3152.0;1072.0;4119.0;-250.0;1490.0;89882.0
2014-05-20;104817.0;10.0;0.0;4058.0;1451.0;3562.0;-377.0;1485.0;94632.0
2014-05-21;108268.0;21.0;0.0;5536.0;853.0;2944.0;-431.0;1467.0;97881.0
2014-05-22;109649.0;74.0;0.0;13618.0;1031.0;2355.0;-297.0;1472.0;91393.0
2014-05-23;108887.0;43.0;0.0;7652.0;1178.0;2621.0;-518.0;1364.0;96543.0
2014-05-24;93428.0;25.0;0.0;5454.0;1342.0;2656.0;-518.0;1321.0;83141.0
2014-05-25;84763.0;37.0;0.0;2681.0;1366.0;2937.0;-469.0;1446.0;76771.0
2014-05-26;105463.0;292.0;0.0;971.0;1408.0;3367.0;-422.0;1445.0;98400.0
2014-05-27;108708.0;26.0;0.0;1206.0;1413.0;3647.0;-358.0;1459.0;101323.0
2014-05-28;107931.0;26.0;0.0;1944.0;1557.0;3825.0;-293.0;1523.0;99348.0
2014-05-29;88771.0;27.0;0.0;2300.0;808.0;4033.0;-329.0;1643.0;80289.0
2014-05-30;99273.0;22.0;0.0;1184.0;1234.0;4188.0;-327.0;1619.0;91346.0
2014-05-31;87721.0;32.0;0.0;4649.0;1786.0;4043.0;-311.0;1624.0;75903.0
2014-06-01;79014.0;42.0;0.0;1706.0;1564.0;3800.0;-265.0;1679.0;70497.0
2014-06-02;101745.0;32.0;0.0;1637.0;996.0;3202.0;-302.0;1462.0;94715.0
2014-06-03;106745.0;19.0;0.0;1179.0;959.0;2519.0;-269.0;1439.0;100895.0
2014-06-04;106837.0;16.0;0.0;10720.0;1590.0;1824.0;-176.0;1433.0;91427.0
2014-06-05;106569.0;273.0;0.0;2773.0;1615.0;1341.0;-200.0;1382.0;99377.0
2014-06-06;104738.0;32.0;0.0;9668.0;1813.0;1218.0;-277.0;1335.0;90951.0
2014-06-07;85602.0;41.0;0.0;4482.0;1671.0;1407.0;-418.0;1364.0;77067.0
2014-06-08;75647.0;43.0;0.0;2449.0;1670.0;1574.0;-472.0;1525.0;68857.0
2014-06-09;78809.0;40.0;0.0;1090.0;1290.0;1755.0;-473.0;1526.0;73595.0
2014-06-10;100517.0;45.0;0.0;6242.0;1803.0;2458.0;-496.0;1409.0;89074.0
2014-06-11;103153.0;459.0;0.0;2205.0;2011.0;3082.0;-270.0;1467.0;94208.0
2014-06-12;103411.0;39.0;0.0;4601.0;2072.0;3222.0;-174.0;1427.0;92239.0
2014-06-13;102017.0;44.0;0.0;4631.0;2050.0;3837.0;-133.0;1332.0;90270.0
2014-06-14;84426.0;48.0;0.0;7534.0;1925.0;4038.0;-140.0;1425.0;69600.0
2014-06-15;75237.0;48.0;0.0;11126.0;1873.0;4069.0;-49.0;1488.0;56699.0
2014-06-16;97661.0;70.0;0.0;13293.0;1852.0;4169.0;-102.0;1407.0;76989.0
2014-06-17;101806.0;45.0;0.0;11978.0;1388.0;4087.0;-164.0;1455.0;83029.0
2014-06-18;102193.0;46.0;0.0;10659.0;2016.0;3845.0;-249.0;1462.0;84428.0
2014-06-19;103188.0;361.0;0.0;3520.0;2020.0;3554.0;-404.0;1489.0;92644.0
2014-06-20;101757.0;37.0;0.0;5091.0;1918.0;3032.0;-509.0;1465.0;90729.0
2014-06-21;84210.0;29.0;0.0;6575.0;1960.0;2473.0;-512.0;920.0;72764.0
2014-06-22;75729.0;41.0;0.0;4181.0;1739.0;2131.0;-512.0;894.0;67269.0
2014-06-23;99212.0;37.0;0.0;4416.0;1907.0;2079.0;-531.0;856.0;90449.0
2014-06-24;102809.0;54.0;0.0;4117.0;1891.0;2327.0;-487.0;867.0;94044.0
2014-06-25;103165.0;74.0;0.0;2166.0;1626.0;2818.0;-419.0;879.0;96028.0
2014-06-26;103507.0;51.0;0.0;2967.0;1156.0;3187.0;-383.0;958.0;95587.0
2014-06-27;101610.0;31.0;0.0;5159.0;1479.0;3509.0;-365.0;998.0;90800.0
2014-06-28;85171.0;32.0;0.0;1307.0;822.0;3709.0;-335.0;1045.0;78593.0
2014-06-29;75771.0;38.0;0.0;5334.0;1644.0;3802.0;-337.0;1481.0;63822.0
2014-06-30;98940.0;46.0;0.0;1386.0;938.0;3503.0;-261.0;1351.0;91987.0
2014-07-01;104077.0;867.0;0.0;3182.0;1171.0;3445.0;-294.0;1300.0;94416.0
2014-07-02;103405.0;62.0;0.0;4585.0;2110.0;3286.0;-352.0;1483.0;92240.0
2014-07-03;104106.0;47.0;0.0;891.0;1973.0;2937.0;-439.0;1479.0;97232.0
2014-07-04;103220.0;732.0;0.0;8359.0;1611.0;2409.0;-482.0;1467.0;89135.0
2014-07-05;87027.0;41.0;0.0;13506.0;452.0;2006.0;-472.0;1597.0;69905.0
2014-07-06;77196.0;44.0;0.0;3901.0;1431.0;1685.0;-504.0;1570.0;69086.0
2014-07-07;98861.0;42.0;0.0;2062.0;1415.0;1340.0;-228.0;1392.0;92851.0
2014-07-08;104547.0;44.0;0.0;4102.0;1538.0;1765.0;-513.0;1276.0;96355.0
2014-07-09;103531.0;42.0;0.0;10516.0;1756.0;2135.0;-514.0;1410.0;88195.0
2014-07-10;103927.0;27.0;0.0;9355.0;1843.0;2821.0;-474.0;1473.0;88881.0
2014-07-11;103406.0;501.0;0.0;3884.0;1354.0;3595.0;-347.0;1526.0;92888.0
2014-07-12;87226.0;12.0;0.0;2762.0;1153.0;4151.0;-155.0;1570.0;77722.0
2014-07-13;77369.0;24.0;0.0;5317.0;1149.0;4402.0;-51.0;1473.0;65057.0
2014-07-14;78876.0;29.0;0.0;2905.0;1397.0;4723.0;-49.0;1388.0;68497.0
2014-07-15;101885.0;6.0;0.0;1229.0;1280.0;4756.0;-49.0;1257.0;93405.0
2014-07-16;105905.0;27.0;0.0;1876.0;1595.0;4587.0;-101.0;1394.0;96541.0
2014-07-17;106363.0;26.0;0.0;7457.0;1606.0;4238.0;-174.0;1380.0;91832.0
2014-07-18;104415.0;25.0;0.0;3923.0;1567.0;3921.0;-327.0;1560.0;93748.0
2014-07-19;87103.0;30.0;0.0;1709.0;1264.0;3140.0;-469.0;1561.0;79873.0
2014-07-20;77428.0;29.0;0.0;1962.0;1353.0;2232.0;-521.0;1554.0;70823.0
2014-07-21;99341.0;28.0;0.0;3213.0;1641.0;1416.0;-256.0;1426.0;91871.0
2014-07-22;104480.0;20.0;0.0;3410.0;1833.0;1517.0;-531.0;1358.0;96865.0
2014-07-23;104971.0;25.0;0.0;4061.0;1816.0;1650.0;-477.0;1453.0;96436.0
2014-07-24;104700.0;30.0;0.0;1725.0;1192.0;2150.0;-435.0;1472.0;98568.0
2014-07-25;102289.0;23.0;0.0;3802.0;1930.0;2442.0;-372.0;1575.0;92889.0
2014-07-26;85747.0;37.0;0.0;3665.0;1759.0;3006.0;-321.0;1591.0;76021.0
2014-07-27;77972.0;34.0;0.0;2525.0;1253.0;3393.0;-296.0;1560.0;69503.0
2014-07-28;96484.0;35.0;0.0;6009.0;1346.0;3548.0;-255.0;1451.0;84355.0
2014-07-29;100286.0;26.0;0.0;5562.0;1703.0;3674.0;-319.0;1478.0;88163.0
2014-07-30;100574.0;28.0;0.0;2479.0;1535.0;4035.0;-328.0;1593.0;91245.0
2014-07-31;100194.0;28.0;0.0;1556.0;1477.0;3635.0;-162.0;1627.0;92035.0
2014-08-01;99016.0;33.0;0.0;2016.0;1399.0;3583.0;-354.0;1594.0;90750.0
2014-08-02;84799.0;32.0;0.0;4073.0;1337.0;3118.0;-417.0;1605.0;75069.0
2014-08-03;75696.0;28.0;0.0;1750.0;1463.0;2560.0;-474.0;1580.0;68783.0
2014-08-04;93234.0;25.0;0.0;1546.0;1593.0;2067.0;-493.0;1581.0;86914.0
2014-08-05;97540.0;33.0;0.0;6954.0;1389.0;1499.0;-446.0;1592.0;86530.0
2014-08-06;98743.0;25.0;0.0;3469.0;1226.0;1513.0;-498.0;1581.0;91430.0
2014-08-07;97520.0;39.0;0.0;1398.0;1464.0;1733.0;-536.0;1589.0;91836.0
2014-08-08;98301.0;29.0;0.0;2416.0;528.0;2393.0;-387.0;1623.0;91688.0
2014-08-09;83950.0;36.0;0.0;2257.0;1348.0;3208.0;-109.0;1652.0;75560.0
2014-08-10;77691.0;37.0;0.0;18514.0;1518.0;3610.0;-49.0;1606.0;52466.0
2014-08-11;92393.0;32.0;0.0;11701.0;1556.0;4458.0;-48.0;1570.0;73136.0
2014-08-12;95740.0;33.0;0.0;5386.0;1415.0;4734.0;-46.0;1590.0;82643.0
2014-08-13;96043.0;28.0;0.0;7763.0;1510.0;4736.0;-49.0;1590.0;80473.0
2014-08-14;96399.0;31.0;0.0;7613.0;1138.0;4579.0;-47.0;1602.0;81491.0
2014-08-15;82182.0;33.0;0.0;4370.0;1392.0;4340.0;-104.0;1626.0;70527.0
2014-08-16;82816.0;29.0;0.0;1983.0;1501.0;4005.0;-270.0;1609.0;73961.0
2014-08-17;77061.0;31.0;0.0;5454.0;831.0;3113.0;-448.0;1603.0;66470.0
2014-08-18;94440.0;31.0;0.0;3036.0;1555.0;1812.0;-431.0;1546.0;86892.0
2014-08-19;98448.0;26.0;0.0;2760.0;1263.0;1111.0;-333.0;1417.0;92207.0
2014-08-20;99217.0;17.0;0.0;1544.0;1672.0;911.0;-342.0;1498.0;93916.0
2014-08-21;99279.0;17.0;0.0;1711.0;1517.0;1243.0;-472.0;1654.0;93598.0
2014-08-22;99412.0;21.0;0.0;4138.0;1073.0;1876.0;-512.0;1658.0;91150.0
2014-08-23;85793.0;30.0;0.0;1501.0;1448.0;2676.0;-472.0;1669.0;78941.0
2014-08-24;78395.0;33.0;0.0;1719.0;1054.0;3245.0;-423.0;1684.0;71086.0
2014-08-25;102056.0;36.0;0.0;12842.0;249.0;3310.0;-274.0;1606.0;84293.0
2014-08-26;105062.0;30.0;0.0;10645.0;1058.0;3840.0;-253.0;1527.0;88203.0
2014-08-27;104749.0;33.0;0.0;7283.0;641.0;4024.0;-218.0;1563.0;91427.0
2014-08-28;105207.0;32.0;0.0;6343.0;1120.0;4020.0;-213.0;1564.0;92339.0
2014-08-29;103338.0;20.0;0.0;4815.0;1248.0;3986.0;-276.0;1607.0;91932.0
2014-08-30;87002.0;29.0;0.0;3379.0;844.0;3954.0;-290.0;1639.0;77448.0
2014-08-31;78181.0;44.0;0.0;1988.0;1662.0;3571.0;-385.0;1624.0;69698.0
2014-09-01;100442.0;39.0;0.0;902.0;1441.0;2830.0;-428.0;1614.0;94048.0
2014-09-02;105742.0;43.0;0.0;1703.0;1342.0;1753.0;-226.0;1579.0;99558.0
2014-09-03;105526.0;36.0;0.0;4564.0;1671.0;1002.0;-315.0;1554.0;97015.0
2014-09-04;105668.0;390.0;0.0;2389.0;1575.0;1025.0;-413.0;1606.0;99078.0
2014-09-05;104484.0;33.0;0.0;733.0;1307.0;1523.0;-451.0;1637.0;99704.0
2014-09-06;86891.0;43.0;0.0;1176.0;1246.0;2431.0;-407.0;1536.0;80873.0
2014-09-07;78266.0;46.0;0.0;2280.0;1409.0;2985.0;-148.0;1510.0;70204.0
2014-09-08;101800.0;33.0;0.0;4646.0;1561.0;3745.0;-108.0;1237.0;90699.0
2014-09-09;106442.0;365.0;0.0;2711.0;1396.0;4215.0;-48.0;1452.0;96356.0
2014-09-10;105095.0;296.0;0.0;4640.0;1595.0;4871.0;-51.0;1446.0;92302.0
2014-09-11;104907.0;30.0;0.0;4829.0;1718.0;4873.0;-50.0;1482.0;92029.0
2014-09-12;103786.0;12.0;0.0;5100.0;1622.0;4703.0;-50.0;1456.0;90933.0
2014-09-13;85385.0;33.0;0.0;5668.0;1417.0;4452.0;-46.0;1448.0;72422.0
2014-09-14;77525.0;41.0;0.0;6361.0;1271.0;3990.0;-234.0;1388.0;64716.0
2014-09-15;100199.0;32.0;0.0;3207.0;1312.0;2710.0;-408.0;1259.0;92088.0
2014-09-16;105272.0;60.0;0.0;3216.0;1375.0;1566.0;-359.0;1248.0;98165.0
