;ff;ff;ff;ff;precip;precip;precip;precip;hu;hu;hu;hu;t;t;t;t
;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum
datetime;;;;;;;;;;;;;;;;
2016-02-12;0.0;5.465019804044195;19.9;52431.4;0.0;0.04132541419193498;2.2;396.6;65.0;87.99262505344164;100.0;823259.0;274.95;280.94307715767;285.55;2763637.05
2016-02-13;0.0;7.846912928759894;29.6;74349.5;0.0;0.04597931616715915;3.2;435.70000000000005;62.0;85.62418796015591;100.0;790825.0;275.05;281.44880609304244;285.65;2734556.6
2016-02-14;0.0;4.379263932702419;17.5;41646.8;0.0;0.016906739564714543;1.6;160.8;52.0;81.88547304611387;100.0;756458.0;274.85;279.42227976617784;284.95;2724646.65
2016-02-15;0.0;5.181821976416571;15.9;49657.4;0.0;0.00020861583394179617;0.4;2.0;43.0;68.3349743150685;100.0;638522.0;269.45;277.5919151317798;282.55;2727895.75
2016-02-16;0.0;2.0701128998536484;12.4;19802.7;0.0;0.00016787325569195258;0.2;1.6;37.0;71.55439578177122;100.0;664955.0;261.15;276.41465773048196;283.25;2701400.45
2016-02-17;0.0;4.525572801182557;18.1;42861.7;0.0;0.04515346482438561;1.8;428.1;56.0;83.58058925476602;100.0;771616.0;268.65;277.47593698517295;282.75;2694846.3
2016-02-18;0.0;3.189778055642388;18.9;30612.3;0.0;0.016878516357574494;1.4;162.0;43.0;79.25005343022013;100.0;741622.0;270.75;278.0511282781053;284.05;2735467.0
2016-02-19;0.0;4.679203305434898;14.0;44167.0;0.0;0.007461106995449254;2.4;70.5;57.0;87.15945652173913;100.0;801867.0;269.35;279.48469324519726;285.45;2705970.8
2016-02-20;2.2;6.638799749947905;15.3;63719.2;0.0;0.0023544119179081157;0.2;22.6;72.0;92.58809701891228;100.0;866532.0;280.85;283.8934292102856;288.95;2793227.45
2016-02-21;0.9;5.108715165431583;12.0;48946.6;0.0;0.0015639662183296842;0.2;15.0;72.0;89.9781911481719;100.0;841656.0;281.95;283.99317673378073;287.55;2792788.9
2016-02-22;0.7;4.88084706864177;11.1;46787.8;0.0;0.011426484399457372;2.2;109.5;74.0;91.96800770383052;100.0;859533.0;280.45;283.7927946265011;287.45;2788548.0
2016-02-23;0.0;2.6462711510340506;14.6;25335.4;0.0;0.01543596161869003;1.2;148.0;50.0;82.38585036926041;100.0;769731.0;276.65;280.5918490988698;284.75;2755692.55
2016-02-24;0.0;4.715411137812141;15.5;45131.2;0.0;0.043228840125391854;1.1;413.70000000000005;65.0;90.73764869788876;100.0;846673.0;273.05;278.7511415757823;284.15;2734827.45
2016-02-25;0.0;2.108906038168735;10.7;20222.3;0.0;0.00035457294816977793;0.2;3.4000000000000004;36.0;72.54861482511498;100.0;678257.0;271.25;278.1064757350697;283.95;2733508.55
2016-02-26;0.0;4.9117101147028155;21.9;47103.3;0.0;0.012451767650432788;1.8;119.4;45.0;74.05754010695188;100.0;692438.0;271.25;278.40085452695826;283.55;2736680.4
2016-02-27;0.0;6.432245961438249;19.6;61717.4;0.0;0.003064095883272538;0.4;29.400000000000002;50.0;68.5443078567611;100.0;641232.0;273.45;277.7354295882054;282.65;2731527.95
2016-02-28;0.9;7.20909090909091;17.1;69149.6;0.0;0.0;0.0;0.0;43.0;65.88633447390933;89.0;616169.0;273.55;278.67457282343366;283.65;2739928.4
2016-02-29;0.0;3.5991959903936515;12.8;34469.5;0.0;0.0;0.0;0.0;46.0;68.59083119108826;97.0;640364.0;271.35;279.0550122249389;284.95;2739204.0
2016-03-01;0.0;6.01178187884475;14.6;57659.0;0.0;0.01746793200542288;0.6;167.5;72.0;89.9235294117647;100.0;840785.0;275.25;282.3386063072228;285.25;2775388.5
2016-03-02;1.4;8.537413972888427;26.3;81873.8;0.0;0.019320196017099365;1.9;185.3;49.0;77.44354148845167;100.0;724252.0;276.25;281.20453620829943;284.55;2764803.0
2016-03-03;0.5;6.116268641151319;19.4;58648.9;0.0;0.010523571130579891;1.4;100.9;60.0;82.98705882352941;100.0;775929.0;277.55;281.27;284.45;2764884.1
2016-03-04;0.0;4.086802877097884;18.5;39204.7;0.0;0.02910891089108911;1.7;279.3;56.0;85.46248396750748;100.0;799587.0;272.35;278.6878405856039;284.05;2741173.6
2016-03-05;0.0;5.4550526645114195;19.6;52308.5;0.0;0.015075062552126772;1.2;144.6;52.0;80.08607784431138;100.0;748965.0;272.55;278.3269426362897;283.25;2736510.5
2016-03-06;0.0;3.2132034180908713;14.6;30833.9;0.0;0.006066291432145091;1.0;58.2;50.0;78.71726349545698;100.0;736400.0;270.75;277.9940976105745;283.45;2734071.95
2016-03-07;0.0;4.034608967674661;13.5;38691.9;0.0;0.0052340736106766764;1.4;50.2;41.0;76.08897444123623;100.0;711508.0;271.25;278.20282270369245;283.35;2735011.95
2016-03-08;0.0;3.7252554744525543;15.6;35725.2;0.0;0.015912408759124086;0.9;152.6;58.0;88.21527109400064;100.0;824901.0;269.55;279.7318958502848;285.15;2750324.0
2016-03-09;3.4;11.29253466791784;27.8;108306.7;0.0;0.0825951016154247;2.5;792.5;49.0;76.99604489577766;100.0;720298.0;276.85;280.7586527707168;284.65;2761261.35
2016-03-10;0.0;5.585936196830692;18.7;53580.3;0.0;0.004586199708150928;1.0;44.0;48.0;77.65554842847979;100.0;726390.0;273.65;280.35627415090505;285.65;2757023.6
